# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Standard Edition
# File: /home/pau/Documents/Classes/CHS_SID/DE1_SoC_Oscilloscope.csv
# Generated on: Thu Apr 16 19:39:30 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HEX0[1],Output,PIN_AE27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_RXD,Input,PIN_AA30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_TXD,Output,PIN_AB30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
OSC_SMA_ADC4,Input,PIN_AB21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
POWER_ON,Output,PIN_AF18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Bidir,PIN_AD7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Bidir,PIN_AD9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Bidir,PIN_AE7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Bidir,PIN_AE9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SMA_DAC4,Input,PIN_AB17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
